ID,pro_ori.[0],pro_ori.[1],pro_ori.[2],pro_ori.[3],pro_ori.[4],pro_ori.[5],pro_ori.[6],pro_ori.[7],pro_dup.[0],pro_dup.[1],pro_dup.[2],pro_dup.[3],pro_dup.[4],pro_dup.[5],pro_dup.[6],pro_dup.[7]
INFL_0164,O_163,,,,O_356,,,O_216,D_207,,,,D_184,,,
INFL_0165,O_416,,,,,,O_334,,D_208,,,,,,D_209,
INFL_0166,O_432,O_428,,,,,O_334,O_139,D_72,D_0,,,,,D_210,
INFL_0167,O_382,O_86,,,,O_320,O_334,O_360,D_84,D_50,,,,D_211,D_199,D_213
INFL_0168,O_483,,O_590,,,,,O_13,D_84,,D_214,,,,,
INFL_0169,O_269,,O_327,,,,O_320,,D_84,,D_216,,,,D_217,
INFL_0170,O_188,,,,,,,,D_51,,,,,,,
INFL_8143,O_56,O_534,,,O_192,,,,D_51,D_218,,,D_107,,,
INFL_8117,O_476,O_355,O_208,,O_306,,,,D_108,D_160,D_122,,D_183,,,
INFL_8147,O_323,,,,,O_359,O_318,O_597,D_51,,,,,D_221,D_199,D_223
INFL_0174,O_386,,,,,,,O_65,D_120,,,,,,,D_150
INFL_0175,O_80,,O_47,O_480,O_492,,,,D_224,,D_225,D_226,D_227,,,
INFL_0176,O_549,O_548,O_529,O_296,O_466,,,,D_78,D_0,D_225,D_165,D_107,,,
INFL_8182,O_525,,O_460,,O_306,,O_490,,D_207,,D_225,,D_227,,D_116,
INFL_0178,O_181,,O_332,,,O_91,,,D_120,,D_14,,,D_224,,
INFL_8134,O_273,O_495,O_158,,,,,,D_84,D_171,D_227,,,,,
INFL_8153,O_384,,O_85,,O_228,,,,D_84,,D_165,,D_227,,,
INFL_8200,O_202,O_533,O_463,,O_82,,O_318,,D_207,D_2,D_234,,D_107,,D_199,
INFL_0182,,O_428,,,,,,,,D_0,,,,,,
INFL_0183,O_120,O_39,,,,,,O_217,D_203,D_171,,,D_236,,,D_127
INFL_8068,O_199,O_533,O_53,O_324,,,O_114,,D_224,D_2,D_237,D_107,,,D_210,
INFL_8056,O_319,,O_446,,,O_481,,,D_72,,D_237,,,D_227,,
INFL_0186,O_372,O_428,,,,O_393,,O_13,D_224,D_0,,,,D_227,,
INFL_8042,O_494,,O_332,,O_87,,O_126,,D_207,,D_14,,D_226,,D_239,
INFL_8043,O_494,,O_194,,O_87,,O_334,,D_207,,D_240,,D_226,,D_241,
INFL_8140,O_319,O_322,,,,O_338,O_318,O_128,D_72,D_95,,,,D_107,D_199,D_242
INFL_0190,O_273,O_278,,,,O_492,,,D_84,D_185,,,,D_227,,
INFL_0191,O_137,,,,,,,,D_22,,,,,D_227,,
INFL_0192,O_271,O_206,O_183,,,,,O_562,D_120,D_0,D_243,,,,,D_244
INFL_8031,O_447,O_398,,,O_481,,O_400,,D_105,D_84,,,D_227,,D_246,
