ID,str_prd_title,str_prd_link,num_prd_price,str_prd_type,str_prd_key
D_420,Gosh 9 shades - to enjoy in New York 1,https://www.superdrug.com/GOSH/Gosh-9-Shades-To-enjoy-in-New-York-1/p/279003,0,D,D_420
D_421,Revolution strobe luxe highlight palette,https://www.notino.co.uk/makeup-revolution/strobe-luxe-highlighter-palette/,0,D,D_421
D_422,Colour pop ultra matte liquid lipstick - Rooch,https://www.glammua.co.uk/products/colourpop-rooch-ultra-matte-lip,0,D,D_422
D_423,Revolution life on the dance floor guest palette,https://www.revolutionbeauty.com/en/Revolution-Life-on-the-Dance-Floor-Eyeshadow-Palette---Guest-List/m-5326.aspx,0,D,D_423
D_424,Maybelline super stay foundation,https://www.boots.com/maybelline-superstay-24h-foundation-10233898,0,D,D_424
D_425,MUA lux radient illumination highlight kit,https://www.muastore.co.uk/makeup/face/highlighter/highlighting-powder/mua-luxe-radiant-illumination-highlight-kit-2,0,D,D_425
D_426,Colour pop lippie stix polliwog,https://colourpop.com/collections/lippie-stix?filter=lippie-stix,0,D,D_426
D_427,GOSH Mineral full cover foundation powder,https://www.superdrug.com/GOSH/GOSH-Mineral-Full-Coverage-Foundation-Powder-Ivory-002/p/202500,0,D,D_427
D_428,Revolution Strobe highlighter flash - gold,https://www.bullring.co.uk/shoponline/product/ff9006f52fde/revolution-strobe-highlighter,0,D,D_428
D_429,NYX lip lingerie - silk indulgent,https://www.cultbeauty.co.uk/nyx-professional-makeup-lingerie-liquid-lipstick.html?variant_id=10873,0,D,D_429
D_430,Revolution conceal & define concealer,https://www.revolutionbeauty.com/en/Revolution-Conceal-and-Define-Concealer---C1/m-5840.aspx,0,D,D_430
D_431,NYX Liquid Suede lipstick - Kitten Heels,https://www.boots.com/nyx-professional-makeup-liquid-suede-cream-lipstick-10207891,0,D,D_431
D_432,MUA Bright Eyeshadow palette - silent disco,https://www.muastore.co.uk/makeup/eyes/eyeshadow/eyeshadow-palettes/silent-disco,0,D,D_432
D_433,The Ordinary High adherence silicone primer,https://www.cultbeauty.co.uk/the-ordinary-high-adherence-silicone-primer.html,0,D,D_433
D_434,Revolution Iconic Lights & Contour palette,https://www.revolutionbeauty.com/en/Revolution-Iconic-Lights-and-Contour-Pro/m-1742.aspx,0,D,D_434
D_435,NYX setting powder - translucent,https://www.boots.com/nyx-professional-makeup-studio-finishing-powder-translucent-finish-10207818,0,D,D_435
D_436,NYX Lip lingerie liquid lipstick - bedtime flirt,https://www.cultbeauty.co.uk/nyx-professional-makeup-lingerie-liquid-lipstick.html?variant_id=9974,0,D,D_436
D_437,Revolution highlighter - peach lights,https://www.revolutionbeauty.com/en/Revolution-Vivid-Baked-Highlighter---Peach-Lights/m-1413.aspx,0,D,D_437
D_438,No7 Stay Perfect foundation,https://www.boots.com/no7-stay-perfect-foundation-10162926,0,D,D_438
D_439,NYX Gotcha Covered,https://www.boots.com/nyx-professional-makeup-gotcha-covered-concealer-19g-10207822,0,D,D_439
D_440,Revolution Soph X Highlighter palette,https://www.revolutionbeauty.com/en/Revolution-Soph-Highlighter-Palette/m-5156.aspx,0,D,D_440
D_441,Milani Baked Bronzer - Dulce,https://www.milanimakeup.co.uk/face/bronzer/milani-baked-bronzer/,0,D,D_441
D_442,NYX Slim lip pencil - Chestnut,https://www.nyxcosmetics.co.uk/en_GB/lips/lip-pencils/slim-lip-pencil/NYX_052.html,0,D,D_442
D_443,NYX First Base makeup primer spray,https://www.cultbeauty.co.uk/nyx-professional-makeup-first-base-makeup-primer-spray.html,0,D,D_443
D_444,Milani Strobelight Highlighter - Day Glow,https://www.milanimakeup.co.uk/face/highlighters/milani-strobelight-instant-glow-powder/,0,D,D_444
D_445,NYX Cream highlight and contour palette,https://www.boots.com/nyx-professional-makeup-cream-highlight-and-contour-palette-light-10213771,0,D,D_445
D_446,Sleek Lip V.I.P lipstick - Showoff,https://www.boots.com/sleek-makeup-lip-vip-lipstick-10210824,0,D,D_446
D_447,Maybelline Fit Me Oil-free stick foundation,https://www.amazon.co.uk/Maybelline-New-York-Foundation-Coconut/dp/B00DRQ9QQ8,0,D,D_447
D_448,NYX Ultimate Brights palette,https://www.boots.com/nyx-professional-makeup-ultimate-shadow-palette-brights-10223101,0,D,D_448
D_449,NYX Soft matte lip cream - London,https://www.cultbeauty.co.uk/nyx-professional-makeup-soft-matte-lip-cream.html?variant_id=10045,0,D,D_449
D_450,NYX Tame and Frame brow pomade,https://www.cultbeauty.co.uk/nyx-professional-makeup-tame-frame-tinted-brow-pomade.html,0,D,D_450
D_451,Maybelline Fit Me foundation stick,https://pricespy.co.uk/beauty-health/makeup/foundations/maybelline-fit-me-shine-free-stick-foundation-9g--p2094900,0,D,D_451
D_452,NYX Ultimate shadow palette warm neutrals,https://www.boots.com/nyx-professional-makeup-ultimate-shadow-palette-warm-neutrals-10223103,0,D,D_452
D_453,Milani 2-in-1 conceal and perfect foundation,https://www.beautybay.com/makeup/milani/concealandperfect2in1foundationandconcealer/,0,D,D_453
D_454,Revolution Pearl Lights Loose Highlighter - Candy Glow,https://www.revolutionbeauty.com/en/Revolution-Pearl-Lights-Loose-Highlighter---Candy-Glow/m-5310.aspx,0,D,D_454
D_455,NYX Gel eyeliner and smudger,https://www.boots.com/nyx-professional-makeup-gel-eyeliner-and-smudger-10207820,0,D,D_455
D_456,Sleek i-Divine Storm eyeshadow palette,https://www.boots.com/sleek-makeup-i-divine-eyeshadow-palette-storm-10164660,0,D,D_456
D_457,Maybelline Master Precise eyeliner,https://www.boots.com/maybelline-master-precise-liquid-eyeliner-10172265,0,D,D_457
D_458,NYX Perfect Filter palette,https://pricespy.co.uk/beauty-health/makeup/eyeshadow-palette/nyx-perfect-filter-eyeshadow-palette--p4359891,0,D,D_458
D_459,Milani matte lipstick - iconic,https://www.milanimakeup.co.uk/lips/lipstick/milani-color-statement-moisture-matte-lipstick/,0,D,D_459
D_460,Revolution golden sugar highlighting palette,https://www.revolutionbeauty.com/en/Revolution-Ultra-Blush-Palette-Golden-Sugar/m-1654.aspx,0,D,D_460
D_461,NYX powder blush - taupe,https://www.cultbeauty.co.uk/nyx-professional-makeup-high-definition-blush.html?variant_id=10177,0,D,D_461
D_462,NYX Highlight & Contour kit,https://www.boots.com/nyx-professional-makeup-highlight-and-contour-pro-palette-10207791,0,D,D_462
D_463,NYX Soft Matte Lip Cream - Stockholm,https://www.nyxcosmetics.co.uk/en_GB/lips/lipstick/soft-matte-lip-cream/NYX_007.html,0,D,D_463
D_464,Maybelline Master Precise liquid eyeliner,https://www.superdrug.com/Maybelline/Maybelline-Master-Precise-Liquid-Eyeliner-Black/p/355050,0,D,D_464
D_465,Rimmel Soft Kohl Kajal Eyeliner pencil,https://www.boots.com/rimmel-soft-khol-kajal-eye-pencil,0,D,D_465
D_466,L'Oreal Lip Spa Lip Oil Pom Pom pink,https://www.superdrug.com/Make-Up/Lips/Lip-Balms/L'Oreal-Lip-Spa-Lip-Oil-03-Pompom-Pink/p/757766,0,D,D_466
D_467,E.L.F. beautifully bare highlighting stick - pink pearl glow,https://www.elfcosmetics.co.uk/beautifully-bare-highlighting-stick/300021.html,0,D,D_467
D_468,B. Pro Long wear gel eyeliner,https://www.superdrug.com/Make-Up/Eye-Makeup/Eyeliner/B-Pro-Longwear-Gel-Eye-Liner-Black/p/717788,0,D,D_468
D_469,NYX Highlight & Contour Cream Pro palette,https://www.cultbeauty.co.uk/nyx-professional-makeup-highlight-contour-cream-pro-palette.html,0,D,D_469
D_470,NYX Highlight & Contour Powder Pro Palette,https://www.cultbeauty.co.uk/nyx-professional-makeup-highlight-contour-cream-pro-palette.html,0,D,D_470
D_471,NYX Liquid suede lipstick - alien,https://www.cultbeauty.co.uk/nyx-professional-makeup-liquid-suede-cream-lipstick.html?variant_id=9982,0,D,D_471
D_472,Milani Strobelight - Day Glow,https://www.milanimakeup.co.uk/face/highlighters/milani-strobelight-instant-glow-powder/,0,D,D_472
D_473,NYX Tame & Frame Brow pomade,https://www.cultbeauty.co.uk/nyx-professional-makeup-tame-frame-tinted-brow-pomade.html,0,D,D_473
